"COLORS","QUESTION","RELATED","WORD","acc","accuracy","average_response_time","avg_rt","background","bidi","canvas_backend","clock_backend","color_backend","compensation","coordinates","correct","correct_Question_response","correct_Stroop_response","correct_response","count_Parts","count_Question_Correct","count_Question_Wrong","count_Question_logger","count_Question_pad","count_Question_response","count_Questions","count_Questions_1","count_Stroop","count_Stroop_Correct","count_Stroop_Wrong","count_Stroop_logger","count_Stroop_pad","count_Stroop_response","count_Trial_Question","count_Trial_Stroop","count_break","count_experiment","count_welcome","datetime","description","font_bold","font_family","font_italic","font_size","foreground","height","keyboard_backend","logfile","mouse_backend","opensesame_codename","opensesame_version","repeat_cycle","response","response_Question_pad","response_Question_response","response_Stroop_response","response_break","response_time","response_time_Question_pad","response_time_Question_response","response_time_Stroop_response","response_time_break","response_time_welcome","response_welcome","sampler_backend","start","subject_nr","subject_parity","time_Parts","time_Question_Correct","time_Question_Wrong","time_Question_logger","time_Question_pad","time_Question_response","time_Questions","time_Questions_1","time_Stroop","time_Stroop_Correct","time_Stroop_Wrong","time_Stroop_logger","time_Stroop_pad","time_Stroop_response","time_Trial_Question","time_Trial_Stroop","time_break","time_experiment","time_welcome","title","total_correct","total_response_time","total_responses","uniform_coordinates","width"
"NA","Was John F. Kennedy assassinated in 1994?","NA","NA","100","100","885","885","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","0","0","0","0","0","0","0","0","NA","NA","NA","NA","NA","0","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","f","f","f","NA","NA","885","2000","885","NA","NA","2860","space","legacy","experiment","999","odd","5067","9235","NA","10235","6348","8348","5361","5361","NA","NA","NA","NA","NA","NA","6318","NA","NA","2202","2206","GoogleEffect","1","885","1","yes","1024"
"NA","Does 5 plus 7 equal 30?","NA","NA","100","100","1396","1396","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","1","1","1","1","1","0","0","0","NA","NA","NA","NA","NA","1","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","f","f","f","NA","NA","1908","1049","1908","NA","NA","2860","space","legacy","experiment","999","odd","5067","14191","NA","15191","11232","12281","5361","5361","NA","NA","NA","NA","NA","NA","11231","NA","NA","2202","2206","GoogleEffect","2","2793","2","yes","1024"
"NA","Does 8 plus 8 equal 16?","NA","NA","66.6666666667","66.6666666667","1030","1030","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","2","2","2","2","2","0","0","0","NA","NA","NA","NA","NA","2","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","298","415","298","NA","NA","2860","space","legacy","experiment","999","odd","5067","14191","16887","17887","16172","16587","5361","5361","NA","NA","NA","NA","NA","NA","16171","NA","NA","2202","2206","GoogleEffect","2","3091","3","yes","1024"
"NA","Are there 24 hours in a day?","NA","NA","50","50","847","847","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","3","3","3","3","3","0","0","0","NA","NA","NA","NA","NA","3","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","298","339","298","NA","NA","2860","space","legacy","experiment","999","odd","5067","14191","19498","20498","18858","19198","5361","5361","NA","NA","NA","NA","NA","NA","18857","NA","NA","2202","2206","GoogleEffect","2","3389","4","yes","1024"
"NA","Do all countries have at least two colors in their flags?","NA","NA","60","60","710","710","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","4","4","4","4","4","0","0","0","NA","NA","NA","NA","NA","4","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","162","360","162","NA","NA","2860","space","legacy","experiment","999","odd","5067","22055","19498","23056","21532","21892","5361","5361","NA","NA","NA","NA","NA","NA","21531","NA","NA","2202","2206","GoogleEffect","3","3551","5","yes","1024"
"NA","Was Cat in the Hat written by J.D. Salinger?","NA","NA","50","50","614","614","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","5","5","5","5","5","0","0","0","NA","NA","NA","NA","NA","5","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","136","293","136","NA","NA","2860","space","legacy","experiment","999","odd","5067","22055","24519","25520","24088","24382","5361","5361","NA","NA","NA","NA","NA","NA","24087","NA","NA","2202","2206","GoogleEffect","3","3687","6","yes","1024"
"NA","Is the formula for water H20? ","NA","NA","42.8571428571","42.8571428571","544","544","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","6","6","6","6","6","0","0","0","NA","NA","NA","NA","NA","6","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","121","272","121","NA","NA","2860","space","legacy","experiment","999","odd","5067","22055","26866","27866","26470","26743","5361","5361","NA","NA","NA","NA","NA","NA","26469","NA","NA","2202","2206","GoogleEffect","3","3808","7","yes","1024"
"NA","Is ketchup made with tomatoes?","NA","NA","37.5","37.5","489","489","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","7","7","7","7","7","0","0","0","NA","NA","NA","NA","NA","7","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","109","246","109","NA","NA","2860","space","legacy","experiment","999","odd","5067","22055","29157","30158","28801","29047","5361","5361","NA","NA","NA","NA","NA","NA","28800","NA","NA","2202","2206","GoogleEffect","3","3917","8","yes","1024"
"NA","Are there 15 months in a year?","NA","NA","44.4444444444","44.4444444444","446","446","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","8","8","8","8","8","0","0","0","NA","NA","NA","NA","NA","8","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","103","272","103","NA","NA","2860","space","legacy","experiment","999","odd","5067","31541","29157","32541","31163","31436","5361","5361","NA","NA","NA","NA","NA","NA","31162","NA","NA","2202","2206","GoogleEffect","4","4020","9","yes","1024"
"NA","Is the current president of the United States Ronald Reagan?","NA","NA","50","50","546","546","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","9","9","9","9","9","0","0","0","NA","NA","NA","NA","NA","9","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","F","F","NA","NA","1445","282","1445","NA","NA","2860","space","legacy","experiment","999","odd","5067","35336","29157","36336","33606","33889","5361","5361","NA","NA","NA","NA","NA","NA","33605","NA","NA","2202","2206","GoogleEffect","5","5465","10","yes","1024"
"NA","Was Moby Dick written by Herman Melville?","NA","NA","54.5454545455","54.5454545455","506","506","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","10","10","10","10","10","0","0","0","NA","NA","NA","NA","NA","10","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","106","295","106","NA","NA","2860","space","legacy","experiment","999","odd","5067","37739","29157","38739","37335","37631","5361","5361","NA","NA","NA","NA","NA","NA","37333","NA","NA","2202","2206","GoogleEffect","6","5571","11","yes","1024"
"NA","Does a triangle have 3 sides?","NA","NA","58.3333333333","58.3333333333","475","475","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","11","11","11","11","11","0","0","0","NA","NA","NA","NA","NA","11","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","140","344","140","NA","NA","2860","space","legacy","experiment","999","odd","5067","40223","29157","41223","39737","40081","5361","5361","NA","NA","NA","NA","NA","NA","39736","NA","NA","2202","2206","GoogleEffect","7","5711","12","yes","1024"
"NA","Are dinosaurs extinct? ","NA","NA","53.8461538462","53.8461538462","450","450","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","12","12","12","12","12","0","0","0","NA","NA","NA","NA","NA","12","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","140","289","140","NA","NA","2860","space","legacy","experiment","999","odd","5067","40223","42682","43682","42251","42540","5361","5361","NA","NA","NA","NA","NA","NA","42250","NA","NA","2202","2206","GoogleEffect","7","5851","13","yes","1024"
"NA","Was Romeo and Juliet written by William Shakespeare?","NA","NA","50","50","429","429","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","13","13","13","13","13","0","0","0","NA","NA","NA","NA","NA","13","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","157","250","157","NA","NA","2860","space","legacy","experiment","999","odd","5067","40223","45183","46183","44771","45021","5361","5361","NA","NA","NA","NA","NA","NA","44763","NA","NA","2202","2206","GoogleEffect","7","6008","14","yes","1024"
"NA","Is a stop sign red in color?","NA","NA","53.3333333333","53.3333333333","412","412","black","yes","xpyriment","legacy","legacy","0","uniform","1","1","NA","f","0","14","14","14","14","14","0","0","0","NA","NA","NA","NA","NA","14","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","177","266","177","NA","NA","2860","space","legacy","experiment","999","odd","5067","47629","45183","48629","47183","47450","5361","5361","NA","NA","NA","NA","NA","NA","47182","NA","NA","2202","2206","GoogleEffect","8","6185","15","yes","1024"
"NA","Is oxygen a metal?","NA","NA","50","50","395","395","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","NA","j","0","15","15","15","15","15","0","0","0","NA","NA","NA","NA","NA","15","NA","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","F","left shift","F","NA","NA","147","325","147","NA","NA","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","NA","NA","NA","NA","NA","NA","49593","NA","NA","2202","2206","GoogleEffect","8","6332","16","yes","1024"
"blue","Is oxygen a metal?","U","laser","52.9411764706","52.9411764706","372","372","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","1","j","0","15","15","15","15","15","0","0","0","0","0","0","0","0","15","0","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","j","left shift","F","j","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","55190","NA","56190","53188","55188","49593","53187","51076","2202","2206","GoogleEffect","9","6332","17","yes","1024"
"blue","Is oxygen a metal?","U","Yoplait","55.5555555556","55.5555555556","351","351","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","1","j","0","15","15","15","15","15","0","0","0","1","1","1","1","1","15","1","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","j","left shift","F","j","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","59125","NA","60125","57123","59123","49593","57122","51076","2202","2206","GoogleEffect","10","6332","18","yes","1024"
"blue","Is oxygen a metal?","U","television","57.8947368421","57.8947368421","333","333","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","1","j","0","15","15","15","15","15","0","0","0","2","2","2","2","2","15","2","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","j","left shift","F","j","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","63052","NA","64052","61050","63050","49593","61042","51076","2202","2206","GoogleEffect","11","6332","19","yes","1024"
"red","Is oxygen a metal?","U","book","55","55","316","316","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","j","0","15","15","15","15","15","0","0","0","3","3","3","3","3","15","3","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","f","left shift","F","f","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","63052","66952","67953","64951","66951","49593","64948","51076","2202","2206","GoogleEffect","11","6332","20","yes","1024"
"blue","Is oxygen a metal?","U","paper","57.1428571429","57.1428571429","301","301","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","1","j","0","15","15","15","15","15","0","0","0","4","4","4","4","4","15","4","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","j","left shift","F","j","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","70895","66952","71896","68894","70894","49593","68893","51076","2202","2206","GoogleEffect","12","6332","21","yes","1024"
"blue","Is oxygen a metal?","U","nails","59.0909090909","59.0909090909","287","287","black","yes","xpyriment","legacy","legacy","0","uniform","1","0","1","j","0","15","15","15","15","15","0","0","0","5","5","5","5","5","15","5","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","j","left shift","F","j","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","74835","66952","75835","72833","74833","49593","72832","51076","2202","2206","GoogleEffect","13","6332","22","yes","1024"
"blue","Is oxygen a metal?","R","browser","56.5217391304","56.5217391304","275","275","black","yes","xpyriment","legacy","legacy","0","uniform","0","0","0","j","0","15","15","15","15","15","0","0","0","6","6","6","6","6","15","6","0","0","0","11/08/15 17:41:55","Default description","no","chinese-japanese-korean","no","18","white","768","legacy","F:\Affairs\TCU\Lecture\Experimental_Psychology\2015Fall\Google_Effect\0_preview\quickrun.csv","xpyriment","Interactive Ising","3.0.2","0","f","left shift","F","f","space","0","325","147","0","1179","2860","space","legacy","experiment","999","odd","5067","47629","50069","51069","49594","49920","5361","5361","52255","74835","78797","79797","76795","78795","49593","76794","51076","2202","2206","GoogleEffect","13","6332","23","yes","1024"
